,中文名,學名,亞種小名,英文名,科名,台灣,馬祖,金門,東沙,特有性,臺灣保育等級
175,諾氏鷸,Tringa guttifer,無亞種分化,Nordmann's Greenshank,鷸科 Scolopacidae,冬、稀/過、稀,無,過、稀,無,無,I
176,小黃腳鷸,Tringa flavipes,無亞種分化,Lesser Yellowlegs,鷸科 Scolopacidae,迷,無,無,無,無,無
177,小青足鷸,Tringa stagnatilis,無亞種分化,Marsh Sandpiper,鷸科 Scolopacidae,冬、不普/過、普,過、稀,過、不普,過、普,無,無
178,鷹斑鷸,Tringa glareola,無亞種分化,Wood Sandpiper,鷸科 Scolopacidae,冬、普/過、普,過、不普,過、不普/冬、稀,過、普,無,無
179,赤足鷸,Tringa totanus,"ussuriensis, terrignotae(?)",Common Redshank,鷸科 Scolopacidae,冬、普,過、稀,冬、普/過、普,過、普,無,無
180,林三趾鶉,Turnix sylvaticus,davidi,Small Buttonquail,三趾鶉科 Turnicidae,留、稀,無,無,無,無,III
181,黃腳三趾鶉,Turnix tanki,blanfordii,Yellow-legged Buttonquail,三趾鶉科 Turnicidae,迷,過、稀,過、稀,無,無,無
182,棕三趾鶉,Turnix suscitator,rostratus,Barred Buttonquail,三趾鶉科 Turnicidae,留、普,過、稀,無,無,臺灣特有亞種(T. s. rostratus),無
183,燕鴴,Glareola maldivarum,無亞種分化,Oriental Pratincole,燕鴴科 Glareolidae,夏、普/過、普,過、不普,夏、不普/過、稀,過、普,無,III
184,灰賊鷗,Stercorarius maccormicki,無亞種分化,South Polar Skua,賊鷗科 Stercorariidae,海、迷,無,無,無,無,無
185,中賊鷗,Stercorarius pomarinus,無亞種分化,Pomarine Jaeger,賊鷗科 Stercorariidae,海、稀,海、稀,過、稀,無,無,無
186,短尾賊鷗,Stercorarius parasiticus,無亞種分化,Parasitic Jaeger,賊鷗科 Stercorariidae,海、稀,海、稀,無,無,無,無
187,長尾賊鷗,Stercorarius longicaudus,pallescens,Long-tailed Jaeger,賊鷗科 Stercorariidae,海、稀,海、稀,無,無,無,無
188,崖海鴉,Uria aalge,inornata,Common Murre,海雀科 Alcidae,海、迷,無,無,無,無,無
189,扁嘴海雀,Synthliboramphus antiquus,microrhynchos,Ancient Murrelet,海雀科 Alcidae,海、稀,海、稀,海、稀,無,無,無
190,冠海雀,Synthliboramphus wumizusume,無亞種分化,Japanese Murrelet,海雀科 Alcidae,海、稀,海、稀,無,無,無,無
191,三趾鷗,Rissa tridactyla,pollicaris,Black-legged Kittiwake,鷗科 Laridae,冬、稀,過、稀,過、稀,無,無,無
192,叉尾鷗,Xema sabini,?,Sabine's Gull,鷗科 Laridae,迷,無,無,無,無,無
193,黑嘴鷗,Saundersilarus saundersi,無亞種分化,Saunders's Gull,鷗科 Laridae,冬、不普,過、稀,冬、稀/過、稀,無,無,II
194,細嘴鷗,Chroicocephalus genei,無亞種分化,Slender-billed Gull,鷗科 Laridae,迷,無,無,無,無,無
195,澳洲紅嘴鷗,Chroicocephalus novaehollandiae,?,Silver Gull,鷗科 Laridae,迷,無,無,無,無,無
196,紅嘴鷗,Chroicocephalus ridibundus,無亞種分化,Black-headed Gull,鷗科 Laridae,冬、普,過、稀,冬、普/過、普,過、稀,無,無
197,棕頭鷗,Chroicocephalus brunnicephalus,無亞種分化,Brown-headed Gull,鷗科 Laridae,迷,無,無,無,無,無
198,小鷗,Hydrocoloeus minutus,無亞種分化,Little Gull,鷗科 Laridae,迷,無,無,無,無,無
199,笑鷗,Leucophaeus atricilla,megalopterus,Laughing Gull,鷗科 Laridae,迷,無,無,無,無,無
200,弗氏鷗,Leucophaeus pipixcan,無亞種分化,Franklin's Gull,鷗科 Laridae,迷,無,無,無,無,無
201,遺鷗,Ichthyaetus relictus,無亞種分化,Relict Gull,鷗科 Laridae,無,無,迷,無,無,I
202,漁鷗,Ichthyaetus ichthyaetus,無亞種分化,Pallas's Gull,鷗科 Laridae,冬、稀,無,迷,無,無,無
203,黑尾鷗,Larus crassirostris,無亞種分化,Black-tailed Gull,鷗科 Laridae,冬、不普/過、不普,夏、普/過、普,冬、稀/過、不普,過、稀,無,無
204,海鷗,Larus canus,"kamtschatschensis, heinei",Mew Gull,鷗科 Laridae,冬、稀,過、稀,冬、稀,無,無,無
205,銀鷗,Larus argentatus,"vegae, mongolicus",Herring Gull,鷗科 Laridae,冬、稀,過、稀,冬、不普/過、稀,過、稀,無,無
206,小黑背鷗,Larus fuscus,heuglini,Lesser Black-backed Gull,鷗科 Laridae,冬、稀,過、稀,冬、不普/過、不普,過、稀,無,無
207,灰背鷗,Larus schistisagus,無亞種分化,Slaty-backed Gull,鷗科 Laridae,冬、稀,過、稀,冬、不普,無,無,無
208,北極鷗,Larus hyperboreus,hyperboreus,Glaucous Gull,鷗科 Laridae,迷,無,無,無,無,無
209,玄燕鷗,Anous stolidus,pileatus,Brown Noddy,鷗科 Laridae,夏、稀,過、稀,夏、稀,過、稀,無,II
210,黑玄燕鷗,Anous minutus,?,Black Noddy,鷗科 Laridae,迷,無,無,無,無,無
211,烏領燕鷗,Onychoprion fuscatus,nubilosus,Sooty Tern,鷗科 Laridae,夏、稀/過、稀,過、稀,無,無,無,無
212,白眉燕鷗,Onychoprion anaethetus,anaethetus,Bridled Tern,鷗科 Laridae,夏、不普,夏、普,夏、不普,無,無,II
213,白腰燕鷗,Onychoprion aleuticus,無亞種分化,Aleutian Tern,鷗科 Laridae,過、不普,過、稀,無,無,無,無
214,小燕鷗,Sternula albifrons,sinensis,Little Tern,鷗科 Laridae,留、不普/夏、不普,過、稀,夏、稀/過、普,過、不普,無,II
215,鷗嘴燕鷗,Gelochelidon nilotica,affinis,Gull-billed Tern,鷗科 Laridae,冬、稀/過、不普,過、稀,過、不普,過、不普,無,無
216,裏海燕鷗,Hydroprogne caspia,無亞種分化,Caspian Tern,鷗科 Laridae,冬、不普,無,冬、普,過、不普,無,無
217,黑浮鷗,Chlidonias niger,niger,Black Tern,鷗科 Laridae,迷,無,無,無,無,無
218,白翅黑燕鷗,Chlidonias leucopterus,無亞種分化,White-winged Tern,鷗科 Laridae,冬、稀/過、普,過、稀,過、不普,過、普,無,無
219,黑腹燕鷗,Chlidonias hybrida,hybrida,Whiskered Tern,鷗科 Laridae,冬、普/過、普,過、稀,過、不普/冬、稀,過、普,無,無
220,紅燕鷗,Sterna dougallii,bangsi,Roseate Tern,鷗科 Laridae,夏、不普,夏、普,夏、不普,過、稀,無,II
221,蒼燕鷗,Sterna sumatrana,sumatrana,Black-naped Tern,鷗科 Laridae,夏、不普,夏、普,夏、不普,過、稀,無,II
222,燕鷗,Sterna hirundo,"longipennis, hirundo(?), tibetana(?)",Common Tern,鷗科 Laridae,過、普,過、稀,過、稀,過、不普,無,無
223,鳳頭燕鷗,Thalasseus bergii,cristatus,Great Crested Tern,鷗科 Laridae,夏、不普,夏、普,夏、不普,過、稀,無,II
224,白嘴端燕鷗,Thalasseus sandvicensis,sandvicensis,Sandwich Tern,鷗科 Laridae,迷,無,無,無,無,無
225,小鳳頭燕鷗,Thalasseus bengalensis,torresii,Lesser Crested Tern,鷗科 Laridae,迷,無,無,無,無,無
226,黑嘴端鳳頭燕鷗,Thalasseus bernsteini,無亞種分化,Chinese Crested Tern,鷗科 Laridae,夏、稀/過、稀,夏、稀,過、稀,無,無,I
227,白尾熱帶鳥,Phaethon lepturus,dorotheae,White-tailed Tropicbird,熱帶鳥科 Phaethontidae,海、迷,海、迷,無,無,無,無
228,紅嘴熱帶鳥,Phaethon aethereus,mesonauta,Red-billed Tropicbird,熱帶鳥科 Phaethontidae,海、迷,無,無,無,無,無
229,紅尾熱帶鳥,Phaethon rubricauda,melanorhynchos,Red-tailed Tropicbird,熱帶鳥科 Phaethontidae,海、稀,海、迷,無,無,無,無
230,紅喉潛鳥,Gavia stellata,無亞種分化,Red-throated Loon,潛鳥科 Gaviidae,迷,冬、稀,過、稀,無,無,無
231,黑喉潛鳥,Gavia arctica,viridigularis,Arctic Loon,潛鳥科 Gaviidae,迷,無,迷,無,無,無
232,太平洋潛鳥,Gavia pacifica,無亞種分化,Pacific Loon,潛鳥科 Gaviidae,迷,無,無,無,無,無
233,白嘴潛鳥,Gavia adamsii,無亞種分化,Yellow-billed Loon,潛鳥科 Gaviidae,無,迷,無,無,無,無
234,黑背信天翁,Phoebastria immutabilis,無亞種分化,Laysan Albatross,信天翁科 Diomedeidae,海、稀,無,無,無,無,無
235,黑腳信天翁,Phoebastria nigripes,無亞種分化,Black-footed Albatross,信天翁科 Diomedeidae,海、稀,無,海、稀,無,無,I
236,短尾信天翁,Phoebastria albatrus,無亞種分化,Short-tailed Albatross,信天翁科 Diomedeidae,海、稀,無,海、稀,無,無,I
237,白腰叉尾海燕,Oceanodroma leucorhoa,leucorhoa,Leach's Storm-Petrel,海燕科 Hydrobatidae,無,海、迷,無,無,無,無
238,黑叉尾海燕,Oceanodroma monorhis,無亞種分化,Swinhoe's Storm-Petrel,海燕科 Hydrobatidae,海、不普,海、稀,海、稀,無,無,無
239,褐翅叉尾海燕,Oceanodroma tristrami,無亞種分化,Tristram's Storm-Petrel,海燕科 Hydrobatidae,海、迷,無,無,無,無,無
240,暴風鸌,Fulmarus glacialis,rodgersii,Northern Fulmar,鸌科 Procellariidae,海、迷,無,無,無,無,無
241,白腹穴鳥,Pterodroma hypoleuca,無亞種分化,Bonin Petrel,鸌科 Procellariidae,海、稀,無,無,無,無,無
242,穴鳥,Bulweria bulwerii,無亞種分化,Bulwer's Petrel,鸌科 Procellariidae,海、普,海、稀,無,海、稀,無,無
243,黑背白腹穴鳥,Pseudobulweria rostrata,rostrata,Tahiti Petrel,鸌科 Procellariidae,海、迷,無,無,無,無,無
244,大水薙鳥,Calonectris leucomelas,無亞種分化,Streaked Shearwater,鸌科 Procellariidae,海、普,海、稀,海、稀,海、稀,無,無
245,肉足水薙鳥,Ardenna carneipes,無亞種分化,Flesh-footed Shearwater,鸌科 Procellariidae,海、稀,無,無,無,無,無
246,長尾水薙鳥,Ardenna pacifica,無亞種分化,Wedge-tailed Shearwater,鸌科 Procellariidae,海、稀,無,無,海、稀,無,無
247,灰水薙鳥,Ardenna grisea,無亞種分化,Sooty Shearwater,鸌科 Procellariidae,海、稀,海、稀,無,無,無,無
248,短尾水薙鳥,Ardenna tenuirostris,無亞種分化,Short-tailed Shearwater,鸌科 Procellariidae,海、稀,海、稀,無,海、稀,無,無
249,黑鸛,Ciconia nigra,無亞種分化,Black Stork,鸛科 Ciconiidae,冬、稀/過、稀,過、稀,冬、稀,無,無,II
250,東方白鸛,Ciconia boyciana,無亞種分化,Oriental Stork,鸛科 Ciconiidae,冬、稀,過、稀,冬、稀,無,無,I
251,白斑軍艦鳥,Fregata ariel,ariel,Lesser Frigatebird,軍艦鳥科 Fregatidae,海、稀,海、稀,海、迷,海、不普,無,無
252,軍艦鳥,Fregata minor,minor,Great Frigatebird,軍艦鳥科 Fregatidae,海、稀,海、稀,海、迷,海、稀,無,無
253,藍臉鰹鳥,Sula dactylatra,personata,Masked Booby,鰹鳥科 Sulidae,海、稀,海、稀(海、迷?),無,無,無,無
254,白腹鰹鳥,Sula leucogaster,plotus,Brown Booby,鰹鳥科 Sulidae,海、普,海、稀,海、稀,海、稀,無,無
255,紅腳鰹鳥,Sula sula,rubripes,Red-footed Booby,鰹鳥科 Sulidae,海、稀,海、稀,無,海、稀,無,無
256,海鸕鷀,Phalacrocorax pelagicus,pelagicus,Pelagic Cormorant,鸕鷀科 Phalacrocoracidae,冬、稀,迷,迷,無,無,無
257,鸕鷀,Phalacrocorax carbo,sinensis,Great Cormorant,鸕鷀科 Phalacrocoracidae,冬、普,冬、不普,冬、普,冬、稀/過、稀,無,無
258,丹氏鸕鷀,Phalacrocorax capillatus,無亞種分化,Japanese Cormorant,鸕鷀科 Phalacrocoracidae,冬、稀,冬、稀,迷,無,無,無
259,卷羽鵜鶘,Pelecanus crispus,無亞種分化,Dalmatian Pelican,鵜鶘科 Pelecanidae,迷,無,迷,無,無,I
260,大麻鷺,Botaurus stellaris,stellaris,Great Bittern,鷺科 Ardeidae,冬、稀,過、稀,冬、稀,無,無,無
261,黃小鷺,Ixobrychus sinensis,無亞種分化,Yellow Bittern,鷺科 Ardeidae,留、不普/夏、不普,過、普,夏、不普/過、不普,過、不普,無,無
262,秋小鷺,Ixobrychus eurhythmus,無亞種分化,Schrenck's Bittern,鷺科 Ardeidae,過、稀,過、稀,過、稀,過、稀,無,無
263,栗小鷺,Ixobrychus cinnamomeus,無亞種分化,Cinnamon Bittern,鷺科 Ardeidae,留、不普,夏、稀,夏、稀,過、不普,無,無
264,黃頸黑鷺,Ixobrychus flavicollis,flavicollis,Black Bittern,鷺科 Ardeidae,過、稀/冬、稀,過、稀,過、稀,過、稀,無,無
265,蒼鷺,Ardea cinerea,jouyi,Gray Heron,鷺科 Ardeidae,冬、普,冬、不普/過、普,冬、普,冬、普/過、普,無,無
266,紫鷺,Ardea purpurea,manilensis,Purple Heron,鷺科 Ardeidae,留、稀/冬、稀,過、稀,冬、稀/過、稀,過、稀,無,無
267,大白鷺,Ardea alba,modesta,Great Egret,鷺科 Ardeidae,夏、不普/冬、普,過、普／冬、稀,冬、普,冬、普/過、普,無,無
268,中白鷺,Ardea intermedia,intermedia,Intermediate Egret,鷺科 Ardeidae,夏、稀/冬、普,過、普／冬、稀,冬、不普,冬、普/過、普,無,無
269,白臉鷺,Egretta novaehollandiae,novaehollandiae,White-faced Heron,鷺科 Ardeidae,迷,無,無,無,無,無
270,唐白鷺,Egretta eulophotes,無亞種分化,Chinese Egret,鷺科 Ardeidae,冬、稀/過、不普,過、稀,夏、不普/過、不普,過、不普,無,II
271,小白鷺,Egretta garzetta,garzetta,Little Egret,鷺科 Ardeidae,留、不普/夏、普/冬、普/過、普,冬、不普/夏、不普/過、普,留、普,冬、普/過、普,無,無
272,岩鷺,Egretta sacra,sacra,Pacific Reef-Heron,鷺科 Ardeidae,留、不普,留、不普,留、不普,過、稀,無,無
273,白頸黑鷺,Egretta picata,無亞種分化,Pied Heron,鷺科 Ardeidae,迷,無,無,無,無,無
274,黃頭鷺,Bubulcus ibis,coromandus,Cattle Egret,鷺科 Ardeidae,留、不普/夏、普/冬、普/過、普,夏、不普/過、普,留、不普/過、不普,冬、普/過、普,無,無
275,印度池鷺,Ardeola grayii,無亞種分化,Indian Pond-Heron,鷺科 Ardeidae,迷,無,無,無,無,無
276,池鷺,Ardeola bacchus,無亞種分化,Chinese Pond-Heron,鷺科 Ardeidae,冬、稀,夏、普/過、普,冬、稀/夏、不普/過、不普,過、不普,無,無
277,爪哇池鷺,Ardeola speciosa,continentalis,Javan Pond-Heron,鷺科 Ardeidae,迷,無,無,無,無,無
278,綠簑鷺,Butorides striata,"carcinophila, amurensis, actophila",Striated Heron,鷺科 Ardeidae,留、不普/過、稀,過、不普,夏、稀/過、稀,過、不普,無,無
279,夜鷺,Nycticorax nycticorax,nycticorax,Black-crowned Night-Heron,鷺科 Ardeidae,留、普/冬、稀/過、稀,留、不普/冬、稀/過、普,留、普,過、普,無,無
280,棕夜鷺,Nycticorax caledonicus,manillensis,Rufous Night-Heron,鷺科 Ardeidae,迷,無,無,無,無,無
281,麻鷺,Gorsachius goisagi,無亞種分化,Japanese Night-Heron,鷺科 Ardeidae,過、稀,過、稀,無,無,無,III
282,黑冠麻鷺,Gorsachius melanolophus,無亞種分化,Malayan Night-Heron,鷺科 Ardeidae,留、普,迷,迷,無,無,無
283,彩䴉,Plegadis falcinellus,無亞種分化,Glossy Ibis,䴉科 Threskiornithidae,迷,無,無,無,無,無
284,埃及聖䴉,Threskiornis aethiopicus,無亞種分化,African Sacred Ibis,䴉科 Threskiornithidae,引進種、普,引進種、稀,無,無,無,無
285,黑頭白䴉,Threskiornis melanocephalus,無亞種分化,Black-headed Ibis,䴉科 Threskiornithidae,冬、稀/過、稀,無,過、稀,無,無,II
286,朱鷺,Nipponia nippon,無亞種分化,Crested Ibis,䴉科 Threskiornithidae,歷史紀錄,無,無,無,無,I
287,白琵鷺,Platalea leucorodia,leucorodia,Eurasian Spoonbill,䴉科 Threskiornithidae,冬、稀,過、稀,冬、稀/過、稀,無,無,II
288,黑面琵鷺,Platalea minor,無亞種分化,Black-faced Spoonbill,䴉科 Threskiornithidae,冬、不普/過、稀,過、稀,冬、不普,冬、稀/過、稀,無,I
289,魚鷹,Pandion haliaetus,haliaetus,Osprey,鶚科 Pandionidae,冬、不普,過、不普／冬、稀,留、不普,冬、普/過、普,無,II
290,黑翅鳶,Elanus caeruleus,vociferus,Black-winged Kite,鷹科 Accipitridae,留、普,過、稀,留、不普,過、稀,無,II
291,東方蜂鷹,Pernis ptilorhynchus,orientalis,Oriental Honey-buzzard,鷹科 Accipitridae,留、不普/過、普,過、稀,過、稀,過、稀,無,II
292,黑冠鵑隼,Aviceda leuphotes,syama,Black Baza,鷹科 Accipitridae,過、稀,迷,迷,無,無,II
293,禿鷲,Aegypius monachus,無亞種分化,Cinereous Vulture,鷹科 Accipitridae,迷,無,無,無,無,II
294,大冠鷲,Spilornis cheela,hoya,Crested Serpent-Eagle,鷹科 Accipitridae,留、普,無,過、稀,無,臺灣特有亞種(S. c. hoya),II
295,熊鷹,Nisaetus nipalensis,nipalensis,Mountain Hawk-Eagle,鷹科 Accipitridae,留、稀,無,無,無,無,I
296,林鵰,Ictinaetus malaiensis,malaiensis,Black Eagle,鷹科 Accipitridae,留、不普,無,迷,無,無,II
297,花鵰,Clanga clanga,無亞種分化,Greater Spotted Eagle,鷹科 Accipitridae,迷,過、稀,過、稀,無,無,II
298,靴隼鵰,Hieraaetus pennatus,無亞種分化,Booted Eagle,鷹科 Accipitridae,無,無,迷,無,無,無
299,白肩鵰,Aquila heliaca,無亞種分化,Imperial Eagle,鷹科 Accipitridae,迷,無,冬、稀,無,無,I
300,白腹鵰,Aquila fasciata,fasciata,Bonelli's Eagle,鷹科 Accipitridae,無,無,迷,無,無,無
301,灰面鵟鷹,Butastur indicus,無亞種分化,Gray-faced Buzzard,鷹科 Accipitridae,冬、稀/過、普,過、普,過、不普,冬、稀/過、普,無,II
302,西方澤鵟,Circus aeruginosus,aeruginosus?,Eurasian Marsh-Harrier,鷹科 Accipitridae,迷,無,無,無,無,無
303,東方澤鵟,Circus spilonotus,spilonotus,Eastern Marsh-Harrier,鷹科 Accipitridae,冬、不普/過、不普,過、稀,過、稀,過、稀,無,II
304,灰澤鵟,Circus cyaneus,無亞種分化,Hen Harrier,鷹科 Accipitridae,冬、稀/過、稀,過、稀,過、稀,過、稀,無,II
305,花澤鵟,Circus melanoleucos,無亞種分化,Pied Harrier,鷹科 Accipitridae,冬、稀/過、稀,無,過、稀,迷,無,II
306,鳳頭蒼鷹,Accipiter trivirgatus,"formosae, indicus",Crested Goshawk,鷹科 Accipitridae,留、普,迷,迷,無,含臺灣特有亞種(A. t. formosae),II
307,赤腹鷹,Accipiter soloensis,無亞種分化,Chinese Sparrowhawk,鷹科 Accipitridae,過、普,過、普,過、稀,冬、稀/過、普,無,II
308,日本松雀鷹,Accipiter gularis,gularis,Japanese Sparrowhawk,鷹科 Accipitridae,冬、稀/過、不普,冬、不普/過、普,過、稀/冬、稀?,冬、稀/過、不普,無,II
309,松雀鷹,Accipiter virgatus,"fuscipectus, affinis",Besra,鷹科 Accipitridae,留、不普,過、稀,留、稀/過、稀,無,臺灣特有亞種(A. v. fuscipectus),II
310,北雀鷹,Accipiter nisus,nisosimilis,Eurasian Sparrowhawk,鷹科 Accipitridae,冬、稀,過、稀,過、稀,冬、稀/過、不普,無,II
311,蒼鷹,Accipiter gentilis,"fujiyamae, schvedowi",Northern Goshawk,鷹科 Accipitridae,冬、稀,過、稀,冬、稀/過、稀,過、稀,無,II
312,黑鳶,Milvus migrans,"formosanus, lineatus",Black Kite,鷹科 Accipitridae,留、不普,過、稀,冬、不普/過、不普,迷,無,II
313,栗鳶,Haliastur indus,indus,Brahminy Kite,鷹科 Accipitridae,迷,無,迷,無,無,II
314,白尾海鵰,Haliaeetus albicilla,無亞種分化,White-tailed Eagle,鷹科 Accipitridae,冬、稀,無,無,無,無,I
315,白腹海鵰,Haliaeetus leucogaster,無亞種分化,White-bellied Sea-Eagle,鷹科 Accipitridae,迷,迷,迷,無,無,II
316,毛足鵟,Buteo lagopus,"menzbieri, kamtschatkensis",Rough-legged Hawk,鷹科 Accipitridae,迷,無,迷,無,無,II
317,東方鵟,Buteo japonicus,japonicus,Eastern Buzzard,鷹科 Accipitridae,冬、不普/過、不普,冬、不普/過、不普,冬、普,冬、普/過、普,無,II
318,大鵟,Buteo hemilasius,無亞種分化,Upland Buzzard,鷹科 Accipitridae,迷,過、稀,過、稀,迷,無,II
319,草鴞,Tyto longimembris,pithecops,Australasian Grass-Owl,草鴞科 Tytonidae,留、稀,迷,冬、稀,無,臺灣特有亞種(T. l. pithecops),I
320,黃嘴角鴞,Otus spilocephalus,hambroecki,Mountain Scops-Owl,鴟鴞科 Strigidae,留、普,無,無,無,臺灣特有亞種(O. s. hambroecki),II
321,領角鴞,Otus lettia,"glabripes, erythrocampe",Collared Scops-Owl,鴟鴞科 Strigidae,留、普,迷,迷,無,臺灣特有亞種(O. l. glabripes),II
322,蘭嶼角鴞,Otus elegans,botelensis,Ryukyu Scops-Owl,鴟鴞科 Strigidae,留、蘭嶼普,無,無,無,蘭嶼特有亞種(O. e. botelensis),II
323,東方角鴞,Otus sunia,"japonicus, stictonotus",Oriental Scops-Owl,鴟鴞科 Strigidae,過、稀,過、稀,過、稀,過、稀,無,II
324,黃魚鴞,Ketupa flavipes,無亞種分化,Tawny Fish-Owl,鴟鴞科 Strigidae,留、稀,無,無,無,無,II
325,鵂鶹,Glaucidium brodiei,pardalotum,Collared Owlet,鴟鴞科 Strigidae,留、不普,無,無,無,臺灣特有亞種(G. b. pardalotum),II
326,縱紋腹小鴞,Athene noctua,plumipes,Little Owl,鴟鴞科 Strigidae,迷,無,迷,無,無,II
327,褐林鴞,Strix leptogrammica,caligata,Brown Wood-Owl,鴟鴞科 Strigidae,留、稀,無,無,無,無,II
328,東方灰林鴞,Strix nivicolum,yamadae,Himalayan Owl,鴟鴞科 Strigidae,留、稀,無,無,無,臺灣特有亞種(S. n. yamadae),II
329,長耳鴞,Asio otus,otus,Long-eared Owl,鴟鴞科 Strigidae,冬、稀,無,冬、稀,過、稀,無,II
330,短耳鴞,Asio flammeus,flammeus,Short-eared Owl,鴟鴞科 Strigidae,冬、不普,過、稀,冬、稀,冬、稀/過、不普,無,II
331,褐鷹鴞,Ninox japonica,"totogo, japonica",Northern Boobook,鴟鴞科 Strigidae,留、不普/過、不普,過、稀,過、稀,過、不普,無,II
332,戴勝,Upupa epops,saturata,Eurasian Hoopoe,戴勝科 Upupidae,冬、稀/過、稀,過、普,留、普/過、不普,過、不普,無,無
333,翠鳥,Alcedo atthis,bengalensis,Common Kingfisher,翠鳥科 Alcedinidae,留、普/過、不普,留、普,留、普/過、稀,過、普,無,無
334,黑背三趾翠鳥,Ceyx erithaca,erithaca,Black-backed Dwarf-Kingfisher,翠鳥科 Alcedinidae,無,迷,無,無,無,無
335,赤背三趾翠鳥,Ceyx rufidorsa,motleyi,Rufous-backed Dwarf-Kingfisher,翠鳥科 Alcedinidae,迷,無,無,無,無,無
336,赤翡翠,Halcyon coromanda,"major, bangsi",Ruddy Kingfisher,翠鳥科 Alcedinidae,過、稀,過、稀,過、稀,過、稀,無,無
337,蒼翡翠,Halcyon smyrnensis,fokiensis,White-throated Kingfisher,翠鳥科 Alcedinidae,過、稀,過、稀,留、普,迷,無,無
338,黑頭翡翠,Halcyon pileata,無亞種分化,Black-capped Kingfisher,翠鳥科 Alcedinidae,冬、稀/過、稀,過、稀,冬、稀/過、稀,冬、稀/過、稀,無,無
339,白領翡翠,Todiramphus chloris,collaris,Collared Kingfisher,翠鳥科 Alcedinidae,迷,無,無,無,無,無
340,斑翡翠,Ceryle rudis,insignis,Pied Kingfisher,翠鳥科 Alcedinidae,無,過、稀,留、不普,無,無,無
341,藍喉蜂虎,Merops viridis,無亞種分化,Blue-throated Bee-eater,蜂虎科 Meropidae,無,無,迷,無,無,無
342,藍頰蜂虎,Merops persicus,persicus,Blue-cheeked Bee-eater,蜂虎科 Meropidae,無,無,迷,無,無,無
343,栗喉蜂虎,Merops philippinus,無亞種分化,Blue-tailed Bee-eater,蜂虎科 Meropidae,迷,無,夏、普,過、稀,無,無
344,彩虹蜂虎,Merops ornatus,無亞種分化,Rainbow Bee-eater,蜂虎科 Meropidae,迷,無,無,無,無,無
345,佛法僧,Eurystomus orientalis,cyanocollis,Dollarbird,佛法僧科 Coraciidae,過、稀,過、普,過、稀,過、不普,無,無
346,五色鳥,Psilopogon nuchalis,無亞種分化,Taiwan Barbet,鬚鴷科 Megalaimidae,留、普,無,無,無,臺灣特有種,無
