,中文名,學名,亞種小名,英文名,科名,台灣,馬祖,金門,東沙,特有性,臺灣保育等級
506,臺灣白喉噪眉,Ianthocincla ruficeps,無亞種分化,Rufous-crowned Laughingthrush,噪眉科 Leiothrichidae,留、稀,無,無,無,臺灣特有種,II
507,黑喉噪眉,Ianthocincla chinensis,chinensis(?),Black-throated Laughingthrush,噪眉科 Leiothrichidae,引進種、局不普,無,無,無,無,無
508,棕噪眉,Ianthocincla poecilorhyncha,無亞種分化,Rusty Laughingthrush,噪眉科 Leiothrichidae,留、不普,無,無,無,臺灣特有種,II
509,臺灣噪眉,Trochalopteron morrisonianum,無亞種分化,White-whiskered Laughingthrush,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,無
510,白耳畫眉,Heterophasia auricularis,無亞種分化,White-eared Sibia,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,III
511,黃胸藪眉,Liocichla steerii,無亞種分化,Steere's Liocichla,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,III
512,紋翼畫眉,Actinodura morrisoniana,無亞種分化,Taiwan Barwing,噪眉科 Leiothrichidae,留、普,無,無,無,臺灣特有種,III
513,戴菊鳥,Regulus regulus,japonensis,Goldcrest,戴菊科 Regulidae,冬、稀/過、稀,過、稀,過、稀,迷,無,無
514,火冠戴菊鳥,Regulus goodfellowi,無亞種分化,Flamecrest,戴菊科 Regulidae,留、普,無,無,無,臺灣特有種,III
515,茶腹鳾,Sitta europaea,formosana,Eurasian Nuthatch,鳾科 Sittidae,留、普,無,無,無,臺灣特有亞種(S. e. formosana),無
516,鷦鷯,Troglodytes troglodytes,taivanus,Eurasian Wren,鷦鷯科 Troglodytidae,留、普,無,無,無,臺灣特有亞種(T. t. taivanus),無
517,河烏,Cinclus pallasii,pallasii,Brown Dipper,河烏科 Cinclidae,留、不普,無,無,無,無,無
518,亞洲輝椋鳥,Aplonis panayensis,?,Asian Glossy Starling,八哥科 Sturnidae,引進種、普,無,無,過、稀,無,無
519,歐洲椋鳥,Sturnus vulgaris,poltaratskyi,European Starling,八哥科 Sturnidae,冬、稀/過、稀,過、稀,冬、稀,過、稀,無,無
520,粉紅椋鳥,Pastor roseus,無亞種分化,Rosy Starling,八哥科 Sturnidae,迷,迷,迷,過、稀,無,無
521,北椋鳥,Agropsar sturninus,無亞種分化,Daurian Starling,八哥科 Sturnidae,過、稀,過、稀,過、稀,過、不普,無,無
522,小椋鳥,Agropsar philippensis,無亞種分化,Chestnut-cheeked Starling,八哥科 Sturnidae,過、稀,過、稀,過、稀,過、普,無,無
523,黑領椋鳥,Gracupica nigricollis,無亞種分化,Black-collared Starling,八哥科 Sturnidae,引進種、局普,過、稀,留、不普,無,無,無
524,灰背椋鳥,Sturnia sinensis,無亞種分化,White-shouldered Starling,八哥科 Sturnidae,冬、不普,過、不普,夏、不普/冬、稀/過、不普,過、普,無,無
525,灰頭椋鳥,Sturnia malabarica,nemoricola,Chestnut-tailed Starling,八哥科 Sturnidae,引進種、不普,無,無,無,無,無
526,絲光椋鳥,Spodiopsar sericeus,無亞種分化,Red-billed Starling,八哥科 Sturnidae,冬、不普,過、普,冬、不普,冬、普/過、不普,無,無
527,灰椋鳥,Spodiopsar cineraceus,無亞種分化,White-cheeked Starling,八哥科 Sturnidae,冬、不普,過、不普,冬、不普,冬、稀/過、稀,無,無
528,家八哥,Acridotheres tristis,tristis,Common Myna,八哥科 Sturnidae,引進種、普,引進種、不普,引進種、稀,迷,無,無
529,林八哥,Acridotheres fuscus,?,Jungle Myna,八哥科 Sturnidae,引進種、稀,引進種、稀,無,無,無,無
530,白尾八哥,Acridotheres javanicus,無亞種分化,Javan Myna,八哥科 Sturnidae,引進種、普,引進種、稀,引進種、稀,無,無,無
531,八哥,Acridotheres cristatellus,"formosanus, cristatellus",Crested Myna,八哥科 Sturnidae,留、不普,留、普,留、普,迷,臺灣特有亞種(A. c. formosanus),II
532,白氏地鶇,Zoothera aurea,"aurea, toratugumi",White's Thrush,鶇科 Turdidae,冬、普,冬、不普,冬、不普,過、不普,無,無
533,虎斑地鶇,Zoothera dauma,dauma,Scaly Thrush,鶇科 Turdidae,留、稀,無,無,無,無,無
534,白眉地鶇,Geokichla sibirica,"sibirica, davisoni",Siberian Thrush,鶇科 Turdidae,過、稀,過、稀,過、稀,過、稀,無,無
535,橙頭地鶇,Geokichla citrina,?,Orange-headed Thrush,鶇科 Turdidae,迷,過、稀,無,無,無,無
536,寶興歌鶇,Otocichla mupinensis,無亞種分化,Chinese Thrush,鶇科 Turdidae,迷,迷,無,無,無,無
537,中國黑鶇,Turdus mandarinus,mandarinus,Chinese Blackbird,鶇科 Turdidae,留、稀/冬、稀,過、不普,留、普,冬、稀/過、稀,無,無
538,白頭鶇,Turdus niveiceps,無亞種分化,Taiwan Thrush,鶇科 Turdidae,留、稀,無,無,無,臺灣特有種,II
539,烏灰鶇,Turdus cardis,無亞種分化,Japanese Thrush,鶇科 Turdidae,過、稀,過、稀,冬、稀,過、稀,無,無
540,灰背鶇,Turdus hortulorum,無亞種分化,Gray-backed Thrush,鶇科 Turdidae,過、稀,過、稀,冬、稀,迷,無,無
541,白眉鶇,Turdus obscurus,無亞種分化,Eyebrowed Thrush,鶇科 Turdidae,冬、不普,過、不普,冬、不普/過、不普,過、不普,無,無
542,赤腹鶇,Turdus chrysolaus,chrysolaus,Brown-headed Thrush,鶇科 Turdidae,冬、普,過、不普,冬、稀,冬、普,無,無
543,白腹鶇,Turdus pallidus,無亞種分化,Pale Thrush,鶇科 Turdidae,冬、普,過、不普,冬、不普,冬、普/過、普,無,無
544,黑頸鶇,Turdus atrogularis,無亞種分化,Black-throated Thrush,鶇科 Turdidae,迷,無,無,無,無,無
545,赤頸鶇,Turdus ruficollis,無亞種分化,Red-throated Thrush,鶇科 Turdidae,冬、稀,迷,迷,迷,無,無
546,斑點鶇,Turdus eunomus,無亞種分化,Dusky Thrush,鶇科 Turdidae,冬、不普,過、不普,冬、稀,冬、不普/過、稀,無,無
547,紅尾鶇,Turdus naumanni,無亞種分化,Naumann's Thrush,鶇科 Turdidae,冬、稀,過、不普,冬、稀,冬、稀/過、稀,無,無
548,灰斑鶲,Muscicapa griseisticta,無亞種分化,Gray-streaked Flycatcher,鶲科 Muscicapidae,過、不普,過、普,過、稀,過、普,無,無
549,烏鶲,Muscicapa sibirica,sibirica,Dark-sided Flycatcher,鶲科 Muscicapidae,過、稀,過、不普,過、稀,過、不普,無,無
550,紅尾鶲,Muscicapa ferruginea,無亞種分化,Ferruginous Flycatcher,鶲科 Muscicapidae,夏、不普,過、稀,過、稀,過、稀,無,無
551,寬嘴鶲,Muscicapa dauurica,dauurica,Asian Brown Flycatcher,鶲科 Muscicapidae,冬、稀/過、不普,過、普,過、不普,過、普,無,無
552,褐胸鶲,Muscicapa muttui,無亞種分化,Brown-breasted Flycatcher,鶲科 Muscicapidae,迷,迷,無,無,無,無
553,斑鶲,Muscicapa striata,mongola,Spotted Flycatcher,鶲科 Muscicapidae,迷,無,無,無,無,無
554,鵲鴝,Copsychus saularis,saularis,Oriental Magpie-Robin,鶲科 Muscicapidae,引進種、局普,留、普,留、普,無,無,無
555,白腰鵲鴝,Copsychus malabaricus,?,White-rumped Shama,鶲科 Muscicapidae,引進種、局普,無,無,無,無,無
556,海南藍仙鶲,Cyornis hainanus,無亞種分化,Hainan Blue-Flycatcher,鶲科 Muscicapidae,迷,迷,過、稀,迷,無,無
557,山藍仙鶲,Cyornis banyumas,whitei,Hill Blue Flycatcher,鶲科 Muscicapidae,無,迷,無,無,無,無
558,白喉林鶲,Cyornis brunneatus,無亞種分化,Brown-chested Jungle-Flycatcher,鶲科 Muscicapidae,迷,迷,無,無,無,無
559,棕腹大仙鶲,Niltava davidi,無亞種分化,Fujian Niltava,鶲科 Muscicapidae,迷,無,無,無,無,無
560,棕腹仙鶲,Niltava sundara,denotata(?),Rufous-bellied Niltava,鶲科 Muscicapidae,迷,無,無,無,無,無
561,黃腹琉璃,Niltava vivida,"vivida, oatesi(?)",Vivid Niltava,鶲科 Muscicapidae,留、普,迷,無,無,臺灣特有亞種(N. v. vivida),III
562,白腹琉璃,Cyanoptila cyanomelana,cyanomelana,Blue-and-white Flycatcher,鶲科 Muscicapidae,過、稀,過、稀,過、稀,過、稀,無,無
563,琉璃藍鶲,Cyanoptila cumatilis,無亞種分化,Zappey's Flycatcher,鶲科 Muscicapidae,?,過、稀,?,無,無,無
564,銅藍鶲,Eumyias thalassinus,thalassinus,Verditer Flycatcher,鶲科 Muscicapidae,冬、稀,過、稀,冬、稀,迷,無,無
565,白喉短翅鶇,Brachypteryx leucophris,carolinae,Lesser Shortwing,鶲科 Muscicapidae,無,無,過、稀,無,無,無
566,小翼鶇,Brachypteryx goodfellowi,無亞種分化,Taiwan Shortwing,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有種,無
567,紅尾歌鴝,Larvivora sibilans,無亞種分化,Rufous-tailed Robin,鶲科 Muscicapidae,過、稀,過、稀,過、不普,無,無,無
568,日本歌鴝,Larvivora akahige,akahige,Japanese Robin,鶲科 Muscicapidae,冬、稀,過、稀,迷,無,無,無
569,琉球歌鴝,Larvivora komadori,komadori,Ryukyu Robin,鶲科 Muscicapidae,迷,無,無,無,無,無
570,藍歌鴝,Larvivora cyane,?,Siberian Blue Robin,鶲科 Muscicapidae,過、稀,過、稀,過、稀,過、稀,無,無
571,藍喉鴝,Luscinia svecica,svecica,Bluethroat,鶲科 Muscicapidae,冬、稀,過、稀,冬、稀,無,無,無
572,臺灣紫嘯鶇,Myophonus insularis,無亞種分化,Taiwan Whistling-Thrush,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有種,無
573,白斑紫嘯鶇,Myophonus caeruleus,caeruleus,Blue Whistling-Thrush,鶲科 Muscicapidae,無,留、普,留、稀/冬、不普,無,無,無
574,小剪尾,Enicurus scouleri,fortis,Little Forktail,鶲科 Muscicapidae,留、稀,無,無,無,臺灣特有亞種(E. s. fortis),II
575,野鴝,Calliope calliope,無亞種分化,Siberian Rubythroat,鶲科 Muscicapidae,冬、普/過、普,過、不普,冬、不普,過、不普,無,無
576,白尾鴝,Myiomela leucura,montium,White-tailed Robin,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有亞種(C. l. montium),III
577,藍尾鴝,Tarsiger cyanurus,無亞種分化,Red-flanked Bluetail,鶲科 Muscicapidae,冬、不普,冬、不普,冬、稀,過、不普,無,無
578,白眉林鴝,Tarsiger indicus,formosanus,White-browed Bush-Robin,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有亞種(T. i. formosanus),III
579,栗背林鴝,Tarsiger johnstoniae,無亞種分化,Collared Bush-Robin,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有種,III
580,白眉鶲,Ficedula zanthopygia,無亞種分化,Yellow-rumped Flycatcher,鶲科 Muscicapidae,過、稀,過、稀,過、稀,過、稀,無,無
581,黃眉黃鶲,Ficedula narcissina,"narcissina, owstoni",Narcissus Flycatcher,鶲科 Muscicapidae,過、稀,過、不普,過、稀,過、稀,無,無
582,白眉黃鶲,Ficedula mugimaki,無亞種分化,Mugimaki Flycatcher,鶲科 Muscicapidae,冬、稀/過、稀,過、不普,過、稀,過、稀,無,無
583,鏽胸藍姬鶲,Ficedula erithacus,無亞種分化,Slaty-backed Flycatcher,鶲科 Muscicapidae,迷,迷,無,無,無,無
584,黃胸青鶲,Ficedula hyperythra,innexa,Snowy-browed Flycatcher,鶲科 Muscicapidae,留、普,無,無,無,臺灣特有亞種(F. h. innexa),無
585,橙胸姬鶲,Ficedula strophiata,strophiata,Rufous-gorgeted Flycatcher,鶲科 Muscicapidae,迷,無,無,無,無,無
586,紅喉鶲,Ficedula albicilla,無亞種分化,Taiga Flycatcher,鶲科 Muscicapidae,冬、稀,過、不普,過、稀,過、稀,無,無
587,紅胸鶲,Ficedula parva,無亞種分化,Red-breasted Flycatcher,鶲科 Muscicapidae,冬、稀,過、稀,過、稀,無,無,無
588,藍額紅尾鴝,Phoenicurus frontalis,無亞種分化,Blue-fronted Redstart,鶲科 Muscicapidae,迷,無,無,無,無,無
589,鉛色水鶇,Phoenicurus fuliginosus,"affinis, fuliginosus",Plumbeous Redstart,鶲科 Muscicapidae,留、普,過、稀,迷,無,臺灣特有亞種(R. f. affinis),III
590,白頂溪鴝,Phoenicurus leucocephalus,無亞種分化,White-capped Redstart,鶲科 Muscicapidae,無,迷,無,無,無,無
591,赭紅尾鴝,Phoenicurus ochruros,rufiventris,Black Redstart,鶲科 Muscicapidae,迷,迷,無,迷,無,無
592,黃尾鴝,Phoenicurus auroreus,auroreus,Daurian Redstart,鶲科 Muscicapidae,冬、普,冬、普,冬、普?/過、普,冬、不普/過、普,無,無
593,白喉磯鶇,Monticola gularis,無亞種分化,White-throated Rock-Thrush,鶲科 Muscicapidae,迷,過、稀,無,迷,無,無
594,藍磯鶇,Monticola solitarius,"philippensis, pandoo",Blue Rock-Thrush,鶲科 Muscicapidae,留、稀/冬、普,留、普,冬、稀/過、不普,冬、不普/過、普,無,無
595,黑喉鴝,Saxicola maurus,stejnegeri,Siberian Stonechat,鶲科 Muscicapidae,冬、不普/過、不普,冬、不普/過、不普,冬、不普,過、不普,無,無
596,白斑黑石䳭,Saxicola caprata,?,Pied Bushchat,鶲科 Muscicapidae,無,迷,無,無,無,無
597,灰叢鴝,Saxicola ferreus,haringtoni,Gray Bushchat,鶲科 Muscicapidae,過、稀,過、稀,過、稀,迷,無,無
598,穗䳭,Oenanthe oenanthe,oenanthe,Northern Wheatear,鶲科 Muscicapidae,迷,無,無,無,無,無
599,沙䳭,Oenanthe isabellina,無亞種分化,Isabelline Wheatear,鶲科 Muscicapidae,迷,無,迷,迷,無,無
600,漠䳭,Oenanthe deserti,?,Desert Wheatear,鶲科 Muscicapidae,迷,迷,無,迷,無,無
601,白頂䳭,Oenanthe pleschanka,無亞種分化,Pied Wheatear,鶲科 Muscicapidae,無,迷,無,無,無,無
602,黃連雀,Bombycilla garrulus,centralasiae,Bohemian Waxwing,連雀科 Bombycillidae,迷,過、稀,無,無,無,無
603,朱連雀,Bombycilla japonica,無亞種分化,Japanese Waxwing,連雀科 Bombycillidae,冬、稀,過、稀,無,無,無,無
604,綠啄花,Dicaeum minullum,uchidai,Plain Flowerpecker,啄花科 Dicaeidae,留、不普,無,無,無,臺灣特有亞種(D. m. uchidai),無
605,紅胸啄花,Dicaeum ignipectus,formosum,Fire-breasted Flowerpecker,啄花科 Dicaeidae,留、普,無,無,無,臺灣特有亞種(D. i. formosum),無
606,黃腹花蜜鳥,Cinnyris jugularis,?,Olive-backed Sunbird,吸蜜鳥科 Nectariniidae,迷,無,無,無,無,無
607,藍喉太陽鳥,Aethopyga gouldiae,dabryii,Gould's Sunbird,吸蜜鳥科 Nectariniidae,迷,迷,引進種、稀,無,無,無
608,叉尾太陽鳥,Aethopyga christinae,latouchii,Fork-tailed Sunbird,吸蜜鳥科 Nectariniidae,迷,過、稀,留、稀/冬、不普,無,無,無
609,橙頰梅花雀,Estrilda melpoda,無亞種分化,Orange-cheeked Waxbill,梅花雀科 Estrildidae,引進種、不普,無,無,無,無,無
610,白喉文鳥,Euodice malabarica,無亞種分化,Indian Silverbill,梅花雀科 Estrildidae,引進種、局普,無,無,無,無,無
611,白腰文鳥,Lonchura striata,swinhoei,White-rumped Munia,梅花雀科 Estrildidae,留、普,迷,過、稀,無,無,無
612,斑文鳥,Lonchura punctulata,topela,Scaly-breasted Munia,梅花雀科 Estrildidae,留、普,留、稀,留、稀,迷,無,無
613,黑頭文鳥,Lonchura atricapilla,"formosana, jagori(?), deignani(?)",Chestnut Munia,梅花雀科 Estrildidae,留、稀/引進種、不普,無,迷,無,無,III
614,岩鷚,Prunella collaris,fennelli,Alpine Accentor,岩鷚科 Prunellidae,留、不普,無,無,無,臺灣特有亞種(P. c. fennelli),III
615,棕眉山岩鷚,Prunella montanella,?,Siberian Accentor,岩鷚科 Prunellidae,迷,無,無,無,無,無
616,家麻雀,Passer domesticus,domesticus,House Sparrow,麻雀科 Passeridae,迷,迷,無,迷,無,無
617,山麻雀,Passer cinnamomeus,rutilans,Russet Sparrow,麻雀科 Passeridae,留、稀,無,無,無,無,I
618,麻雀,Passer montanus,saturatus,Eurasian Tree Sparrow,麻雀科 Passeridae,留、普,留、普,留、普,過、稀,無,無
619,山鶺鴒,Dendronanthus indicus,無亞種分化,Forest Wagtail,鶺鴒科 Motacillidae,冬、稀,過、稀,過、稀,過、稀,無,無
620,灰鶺鴒,Motacilla cinerea,cinerea,Gray Wagtail,鶺鴒科 Motacillidae,冬、普,過、普/冬、不普,冬、不普/過、不普,冬、不普/過、普,無,無
621,西方黃鶺鴒,Motacilla flava,"thunbergi, lutea ",Western Yellow Wagtail,鶺鴒科 Motacillidae,迷,?,?,無,無,無
622,東方黃鶺鴒,Motacilla tschutschensis,"taivana, tschutschensis, macronyx",Eastern Yellow Wagtail,鶺鴒科 Motacillidae,冬、普/過、普,冬、不普/過、普,冬、稀/過、普,過、普,無,無
623,黃頭鶺鴒,Motacilla citreola,citreola,Citrine Wagtail,鶺鴒科 Motacillidae,過、稀,過、稀,過、稀,過、稀,無,無
624,日本鶺鴒,Motacilla grandis,無亞種分化,Japanese Wagtail,鶺鴒科 Motacillidae,迷,無,無,無,無,無
625,白鶺鴒,Motacilla alba,"leucopsis, ocularis, lugens, baicalensis, dukhunensis, personata",White Wagtail,鶺鴒科 Motacillidae,留、普/冬、普,留、不普/冬、普,留、普/冬、普,冬、不普/過、普,無,無
626,大花鷚,Anthus richardi,"ussuriensis,  sinensis",Richard's Pipit,鶺鴒科 Motacillidae,冬、不普,冬、不普,冬、普,過、稀,無,無
627,稻田鷚,Anthus rufulus,?,Paddyfield Pipit,鶺鴒科 Motacillidae,迷,無,無,無,無,無
628,布萊氏鷚,Anthus godlewskii,無亞種分化,Blyth's Pipit,鶺鴒科 Motacillidae,迷,迷,迷,無,無,無
629,草地鷚,Anthus pratensis,pratensis,Meadow Pipit,鶺鴒科 Motacillidae,迷,無,無,無,無,無
630,粉紅胸鷚,Anthus roseatus,無亞種分化,Rosy Pipit,鶺鴒科 Motacillidae,迷,無,無,無,無,無
631,林鷚,Anthus trivialis,trivialis,Tree Pipit,鶺鴒科 Motacillidae,迷,迷,迷,無,無,無
632,樹鷚,Anthus hodgsoni,"hodgsoni, yunnanensis",Olive-backed Pipit,鶺鴒科 Motacillidae,冬、普,冬、普/過、不普,冬、普/過、不普,過、不普,無,無
633,白背鷚,Anthus gustavi,gustavi,Pechora Pipit,鶺鴒科 Motacillidae,過、不普,過、不普,過、稀,過、不普,無,無
634,赤喉鷚,Anthus cervinus,無亞種分化,Red-throated Pipit,鶺鴒科 Motacillidae,冬、不普,冬、不普/過、普,冬、不普,過、不普,無,無
635,水鷚,Anthus spinoletta,blakistoni,Water Pipit,鶺鴒科 Motacillidae,迷,過、稀,過、稀,無,無,無
636,黃腹鷚,Anthus rubescens,japonicus,American Pipit,鶺鴒科 Motacillidae,冬、稀,過、稀,過、稀,過、稀,無,無
637,花雀,Fringilla montifringilla,無亞種分化,Brambling,雀科 Fringillidae,冬、不普,過、稀,過、稀,過、稀,無,無
638,臘嘴雀,Coccothraustes coccothraustes,japonicus,Hawfinch,雀科 Fringillidae,冬、稀,過、稀,過、稀,無,無,無
639,小桑鳲,Eophona migratoria,migratoria,Yellow-billed Grosbeak,雀科 Fringillidae,冬、稀,留、不普,留、普,過、稀,無,無
640,桑鳲,Eophona personata,"personata, magnirostris(?)",Japanese Grosbeak,雀科 Fringillidae,冬、稀,過、稀,過、稀,過、稀,無,無
641,普通朱雀,Carpodacus erythrinus,grebnitskii,Common Rosefinch,雀科 Fringillidae,冬、稀,迷,迷,過、稀,無,無
642,臺灣朱雀,Carpodacus formosanus,無亞種分化,Taiwan Rosefinch,雀科 Fringillidae,留、普,無,無,無,臺灣特有種,III
643,北朱雀,Carpodacus roseus,roseus,Pallas's Rosefinch,雀科 Fringillidae,迷,無,無,無,無,無
644,褐鷽,Pyrrhula nipalensis,uchidai,Brown Bullfinch,雀科 Fringillidae,留、不普,無,無,無,臺灣特有亞種(P. n. uchidae),無
645,灰鷽,Pyrrhula erythaca,owstoni,Gray-headed Bullfinch,雀科 Fringillidae,留、不普,無,無,無,臺灣特有亞種(P. e. owstoni),無
646,歐亞鷽,Pyrrhula pyrrhula,?,Eurasian Bullfinch,雀科 Fringillidae,迷,無,無,無,無,無
647,金翅雀,Chloris sinica,"kawarahiba, sinica",Oriental Greenfinch,雀科 Fringillidae,冬、稀,留、不普,留、不普,過、稀,無,無
648,赤胸朱頂雀,Linaria cannabina,?,Common Linnet,雀科 Fringillidae,迷,無,無,無,無,無
649,普通朱頂雀,Acanthis flammea,flammea,Common Redpoll,雀科 Fringillidae,迷,無,無,無,無,無
650,紅交嘴雀,Loxia curvirostra,japonica,Red Crossbill,雀科 Fringillidae,迷,無,無,無,無,無
651,黃雀,Spinus spinus,無亞種分化,Eurasian Siskin,雀科 Fringillidae,冬、稀,過、不普,過、稀,冬、稀/過、不普,無,無
652,鐵爪鵐,Calcarius lapponicus,coloratus,Lapland Longspur,鐵爪鵐科 Calcariidae,迷,無,無,無,無,無
653,雪鵐,Plectrophenax nivalis,vlasowae,Snow Bunting,鐵爪鵐科 Calcariidae,迷,無,無,無,無,無
654,冠鵐,Emberiza lathami,無亞種分化,Crested Bunting,鵐科 Emberizidae,迷,過、稀,過、稀,過、稀,無,無
655,黑頭鵐,Emberiza melanocephala,無亞種分化,Black-headed Bunting,鵐科 Emberizidae,過、稀,過、稀,迷,過、稀,無,無
656,褐頭鵐,Emberiza bruniceps,無亞種分化,Red-headed Bunting,鵐科 Emberizidae,迷,迷,迷,無,無,無
657,赤胸鵐,Emberiza fucata,"fucata, kuatunensis",Chestnut-eared Bunting,鵐科 Emberizidae,冬、稀/過、稀,過、稀,過、稀,無,無,無
658,草鵐,Emberiza cioides,castaneiceps,Meadow Bunting,鵐科 Emberizidae,迷,迷,無,無,無,無
659,白頂鵐,Emberiza stewarti,無亞種分化,Chestnut-breasted Bunting,鵐科 Emberizidae,迷,無,無,無,無,無
660,白頭鵐,Emberiza leucocephalos,leucocephalos,Pine Bunting,鵐科 Emberizidae,迷,無,無,無,無,無
661,黃喉鵐,Emberiza elegans,elegans,Yellow-throated Bunting,鵐科 Emberizidae,冬、稀,過、不普,過、稀,過、稀,無,無
662,紅頸葦鵐,Emberiza yessoensis,?,Ochre-rumped Bunting,鵐科 Emberizidae,迷,無,過、稀,無,無,無
663,葦鵐,Emberiza pallasi,polaris,Pallas's Bunting,鵐科 Emberizidae,冬、稀,過、稀,過、稀,無,無,無
664,蘆鵐,Emberiza schoeniclus,"pyrrhulina(?), pallidio(?)",Reed Bunting,鵐科 Emberizidae,迷,無,無,迷,無,無
665,金鵐,Emberiza aureola,ornata,Yellow-breasted Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、稀,無,II
666,小鵐,Emberiza pusilla,無亞種分化,Little Bunting,鵐科 Emberizidae,冬、稀/過、不普,過、普,冬、稀/過、不普,冬、普/過、普,無,無
667,田鵐,Emberiza rustica,?,Rustic Bunting,鵐科 Emberizidae,冬、稀/過、稀,過、稀,過、稀,過、稀,無,無
668,野鵐,Emberiza sulphurata,無亞種分化,Yellow Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、稀,無,II
669,黑臉鵐,Emberiza spodocephala,"spodocephala, personata, sordida",Black-faced Bunting,鵐科 Emberizidae,冬、普,過、普/冬、不普,冬、普,過、稀,無,無
670,鏽鵐,Emberiza rutila,無亞種分化,Chestnut Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、稀,無,無
671,黃眉鵐,Emberiza chrysophrys,無亞種分化,Yellow-browed Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、不普,無,無
672,白眉鵐,Emberiza tristrami,無亞種分化,Tristram's Bunting,鵐科 Emberizidae,過、稀,過、不普,過、稀,過、稀,無,無
673,灰鵐,Emberiza variabilis,無亞種分化,Gray Bunting,鵐科 Emberizidae,迷,迷,無,無,無,無
674,稀樹草鵐,Passerculus sandwichensis,?,Savannah Sparrow,鵐科 Emberizidae,迷,無,無,無,無,無
